127.0.0.1 - - [08/Mar/2017:04:15:20 +0100] "GET / HTTP/1.1" 200 5552
127.0.0.1 - - [08/Mar/2017:04:15:31 +0100] "GET /calendrier HTTP/1.1" 200 910810
127.0.0.1 - - [08/Mar/2017:04:15:32 +0100] "GET /style/roadmaps.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:15:32 +0100] "GET /iconfont/material-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:15:32 +0100] "GET /libs/calendar/calendar.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:15:33 +0100] "GET /iconfont/MaterialIcons-Regular.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:15:34 +0100] "GET /calendrier HTTP/1.1" 200 910810
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "POST /services/roadmaps.php?action=calendrier-task-create HTTP/1.1" 200 4
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /calendrier HTTP/1.1" 200 951483
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /style/style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /style/layout.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /style/pastel-theme.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/zquery/zquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/jquery-ui-1.12.1/external/jquery/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/split/split.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /style/roadmaps.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /iconfont/material-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/screendebug/css/screendebug.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/simpledrag/simpledrag.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/screendebug/js/screendebug.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:36 +0100] "GET /libs/calendar/calendar.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:37 +0100] "GET /libs/split/vertical.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:42 +0100] "POST /services/roadmaps.php?action=calendrier-update-grab HTTP/1.1" 200 4
127.0.0.1 - - [08/Mar/2017:04:17:42 +0100] "GET /calendrier HTTP/1.1" 200 951483
